analog to digit converter,مُحَوِّلُ تَناظُرِيُّ إلى رَقْمِيٍّ
abandon,يستغنى
abbreviated addressing,عَنْونة مُخْتَصَرة
abnormal termination,انتهاء غير عادى
Autonomous built-in self-test,فحص ذاتي مُبَيَتْ
asynchronous balanced mode,نمط متزن لا متزامن
abnormal end,انْتِهاءٌ غَيْرُ عادِي
abnormal end,انْتِهاءٌ غَيْرُ عادِي
abort,إجْهاض
automatic baud recognition,تعرُّف البود أوتوماتيًّا
absolute address,عُنْوانٌ مُطْلَق
absolute code,كودٌ مُطْلَقٌ
absolute pointing device,جهاز مؤشر مطلق
absolute value,قيمَةٌ مُطْلَقَةٌ
absorption law,قانُون الامْتِصاصِ
abstract data type,طِرازُ البَياناتِ المُجَرَّدَة
abstract machine,آلَةٌ مُجَرَّدَة
abstract symbol,رَمْزٌ مُجَرَّدٌ
AGP,البوابة المُسرِّعة للرسومات
acceleration time,زَمَنُ التَّسارُع
accelerator board,لوحة المعجِّل
acceptable use policy,سياسة استخدام مقبولة
acceptance test,اِخْتِبارُ القَبُولِ
access,تَوَصُّل
access code, file,شفرة التّوصل للملف
access control,التَّحَكُّمُ في التَّوَصُّلِ
ACL,قائمة التحكم في التوصُّل
access methods,طُرُقُ التَّوَصُّلِ
access privileges,امتيازات التوصُّل
access time,زَمَنُ التَّوَصُّلِ
access vector,مُتَّجِهُ التَّوَصُّلِ
accessories,مُلْحَقاتٌ إضافِيَّةٌ
accidental administrator,المدير العارض
accounting file,مِلَفُّ مُحاسبةٍ
accumulator,مُرَكِّم
accuracy control,التَّحَكُّمُ في الدِّقَّةِ
ACIA,مُواِئٌم بيْنِيٌّ للاِتِّصالاتِ غَيْرِ المُتَزامِنَةِ (أكيا)
acknowledgment,إفادَةٌ بالتَّسَلُّمِ
acoustic coupler,رابِطٌ صَوْتِيٌّ
activating,تَنْشِيط
activator,مُحَرِّكَة
active X,X النشط
running,نَشِيط
active matrix display,شاشة المصفوفة النشطة
LCD,نوع من شاشات البلّور السائل، يحتوى كل بيكسل فيه على عنصر نشط مثل الترانـزستور ليحافظ على حالته في الفترات الزمنية البينية لمسح الشاشة، ويتلافى هذا النوع من الشاشات عيوب الشاشات المصفوفة الخاملة (passive matrix display)، حيث يمكن أن تُرى من كافة الاتجاهات، وهى مناسبة للشاشات الملونة ولكنها أغلى ثمنًا، وتستخدم حاليًّا في جميع أنواع الحواسيب سواء المحمولة أو المكتبية.
active star,النجمة الفعَّالة
automatic call unit,وَحْدَةُ نِداءٍ ذَاتِيٍّ ( أوتوماتِي )
acyclic graph,مُخَطَّطٌ  لا دَوْرِيٌّ
ada,إيدا
adapter,مُهايِئ (مُوائِم)
adaptive channel allocation,تَخْصِيصُ مُهايِئ للقَنَواتِ
adaptive control system,نَظامُ تَحَكُّمٍ مُتَوَائِمٌ
adaptive process,عَمَلِيَّةُ مُواءَمَةٍ
adaptive routing,توجيهٌ مُوائِمٌ للمسار
adder,جَمَّاع
adder circuit,دائِرَةُ الجَمَّاعِ
adder subtractor,جَمَّاعٌ طَرَّاحٌ
adding time,زَمَنُ الجَمْعِ
address,عُنْوان
address book,دفتر العناوين
address bus,مَسارٌ تَجْمِيعِيٌّ للعَناوِينِ
address generation,تَوْلِيدُ عُنْوان
address mapping,تَحْوِيُل عُنْوانٍ
address mask,قناع العنوان
address modification,تَعْدِيلُ عُنْوان
