abbreviation,اختصار
abort,تخل,إجهاض
abstract,ملخص,مجرد
accelerated graphic port (AGP),بوابة رسومية مسرعة
accelerated graphics adapter,مكيف رسومي مسرع
acceptance,قبول
acceptance test,فحص  القبول,اختبار القبول
access,ولوج,نفاذ,توصل
access authorization,إذن بالولوج
access capability,قابلية الولوج
access code authority,حق في شفرات الولوج
access control,تحكم في الولوج,التحكم في التوصل
accession,اطلاع
access number,رقم الولوج
accessories,توابع,ملحقات إضافية
access permissions,رخص الولوج
access privilege,امتياز الولوج
access provider,مزود الولوج
access rate,تعرفة الولوج
access right,حق الولوج
access time,مدة الولوج,زمن التوصل
account,حساب
accounting,محاسبة
accounting document,وثيقة محاسبة
accounting package,برمجية محاسبة
acknowledgement,إشعار بتسلم
acoustic,صوتي
acoustic input,مدخل صوتي
acoustic output,مخرج صوتي
acronym,ترخيمة,إجراء
activate,تنشيط,تفعيل
active partition,تجزئة نشيطة
active window,نافذة نشيطة
activex,أكتيف إكس
actualize,تحيين
actuate,إطلاق
actuation area,منطقة إطلاق
ad.,إعلان
adaptation,تكييف
adapter,مكيف,مهايئ (موائم)
adapter segment,شدفة المكيف
add-on-kit,عدة إضافية
address,عنوان,الإزاحة عن العنوان
address book,دفتر العناوين,دفتر عناوين
address bus,مسلك عناوين,ناقل عناوين,مسار تجميعي للعناوين
address resolution protocol (ARP),بروتوكول حل العناوين
address space,حيز العنوان
address translation,تحويل العناوين
ad. Rotation,تدوير الإعلانات
advanced,متطور,متقدم
advance research project agency network (Arpanet),شبكة وكالة مشاريع الأبحاث المتقدمة
affix,لاصقة,زائدة
aid,أداة
aided,مساعد
alarm,إنذار,منبه,إنذار مسموع
alert,تحذير,تنبيه,إنذار
alert message,رسيلة تحذير
algorithm,خوارزمية,خوارزم
alias,مكنى,كنية
aline,صف
allotment,إسناد
alphabet,ألفباء
alphabetic character,محرف ألفبائي
alphabetic character set,مجموعة محارف ألفبائية
alphagraphical,ألفبائي رسومي
alphanumeric,ألفبائي عددي,أبجدي عددي,هجائية رقمية
alphanumeric sorting,فرز ألفبائي عددي
alternate character set,مجموعة محارف ثانوية
analog,تماثلي,نظير
analog computer,حاسوب تناظري
analog input scanner,مفراس بدخل تناظري
analog-to-digital conversion,تحويل تناظري رقمي
analyst,محلل,محلل نظم
analyzer,محلل
ancillary,مساعد
and,عطف,و
anomaly,شذوذ
anonymous,غفل,مجهول الاسم,مجهول الهوية
answering time,مدة الإجابة
antivirus,مضاد للفيروس,مضاد فيروسات
antivirus program,برنامج مضاد للفيروسات
apostrophe,فاصلة عليا
application,تطبيق
application action bar,شريط قائمة خيارات
application developer,مطور تطبيقات
application development tools,أدوات تطوير التطبيقات
application package,برمجية تطبيقات جاهزة,حزمة برامج التطبيق
application program,برنامج تطبيق,برنامج التطبيق
application program interface (API),وجيهة برنامج تطبيقي
apply,تطبيق
archie,أرشي,آرشى ( نظام خدمة دليل)
architecture,بنية,بنية الحاسب
archival medium,وسيط أرشفة
archive,أرشيف
archived file,ملف مؤرشف
archive library,مكتبة أرشفة
archiving,أرشفة
array,مصفوفة,منظومة (صفيف),منظومة
arrow diagram,مخطط سهمي
article,بند,مقالة
artificial,اصطناعي,ترداد اصطناعي
artificial intelligence,ذكاء اصطناعي
ascending order,ترتيب تصاعدي
ASCII (American Standard Code for Information Interchange,آسكي
assignment,إسناد,تعيين
asterisk,نجمة,لامتناظر,نجمة *
asynchronous,لا متزامن,لا تزامني,لاتزامني
asynchronous communications port,بوابة اتصال لا متزامن
asynchronous transfer mode (ATM),منوال نقل لا متزامن
asynchronous transmission,إرسال لا متزامن
