a:,a:
abbreviation,اخْتِصَار
abort,تَخَلٍّ
abstract,مُلَخَّص
accelerated graphic port (AGP),بَوَّابَةٌ رُسُوميّة مُسَرِّعَة
accelerated graphics adapter,مُكَيِّف رُسُوميّ مُسَرَّع
acceptance,قَبُول
acceptance test,فَحْص ُ الْقَبُول
access,وُلُوج
access authorization,إذْن بالوُلُوج
access capability,قَابِلِيَّة الوُلُوج
access code authority,حَقّ في شَفَرَات الوُلُوج
access control,تحكم في الْوُلُوجِ
accession,اطِّلاع
access number,رَقْم الوُلُوج
accessories,تَوَابِع
access permissions,رُخَصُ الْوُلُوج
access privilege,امْتِيَاز الوُلُوج
access provider,مُزَوِّد الْوُلُوج
access rate,تَعْرفة الوُلُوج
access right,حَقّ الوُلُوج
access time,مُدَّةُ الْوُلُوج
account,حِسَاب
accounting,مُحَاسَبة
accounting document,وَثيقَة مُحَاسَبة
accounting package,بَرْمَجِيَّةُ مُحَاسَبَةٍ
acknowledgement,إِشْعَار بتسلُّم
acoustic,صَوْتِيّ
acoustic input,مَدْخَلٌ صَوْتيّ
acoustic output,مَخْرَجٌ صَوْتيّ
acronym,تَرْخِيمَة
activate,تَنْشِيط
active partition,تَجْزِئَةٌ نَشِيطَة
active window,نَافِذَة نَشِيطَة
activex,أكتيف إكس
actualize,تَحْيِين
actuate,إِطْلاق
actuation area,مِنْطَقَةُ إطلاق
ad.,إِعْلاَن
adaptation,تَكْيِيفٌ
adapter,مُكَيِّف
adapter segment,شُدْفَة المكَيِّف
add-on-kit,عُدَّة إضَافِيَّة
address,عُنْوَان
address book,دَفْتَرُ الْعَنَاوِين
address bus,مَسْلَكُ عَنَاوِين
address resolution protocol (ARP),بُرُوتُوكُول حَلّ الْعَنَاوِين
address space,حَيِّزُ الْعُنْوَان
address translation,تَحْوِيلُ العَنَاوِين
ad. Rotation,تَدْوِيرُ الإعْلانَات
advanced,مُتَطَوِّر
